,angle,reaction_time,ans,rsp,obj,name,experiment,group,session,AR,Type,Sym
780,0.0,2.906297,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,45.0
781,135.0,4.699496,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,0.0
782,90.0,2.61756,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,90.0
783,90.0,2.993187,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,45.0
784,180.0,2.222958,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,0.0
785,135.0,2.344076,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,45.0
786,90.0,2.693483,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,90.0
787,45.0,2.390305,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,90.0
788,0.0,2.234777,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,90.0
789,180.0,3.516987,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,45.0
790,0.0,2.078926,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,0.0
791,90.0,2.367275,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,0.0
792,90.0,2.523338,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,90.0
793,0.0,3.098507,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,90.0
794,180.0,3.270935,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,0.0
795,45.0,2.980877,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,0.0
796,90.0,2.870239,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,45.0
797,0.0,2.389668,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,45.0
798,135.0,2.658646,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,0.0
799,45.0,2.682987,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,0.0
800,135.0,1.837788,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,0.0
801,135.0,3.030029,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,90.0
802,135.0,3.954773,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,0.0
803,45.0,2.636444,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,0.0
804,135.0,2.479935,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,90.0
805,0.0,3.026024,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,0.0
806,135.0,3.666824,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,45.0
807,90.0,2.611504,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,0.0
808,180.0,2.869926,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,90.0
809,90.0,3.373093,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,90.0
810,180.0,2.422791,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,90.0
811,45.0,2.582512,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,45.0
812,0.0,2.207458,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,90.0
813,180.0,2.047752,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,90.0
814,180.0,2.244537,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,0.0
816,135.0,1.98835,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,90.0
819,180.0,3.350502,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,45.0
820,90.0,3.01503,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,0.0
821,180.0,2.748726,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,45.0
822,45.0,3.17276,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,90.0
823,0.0,2.032532,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,90.0
824,180.0,2.30162,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,45.0
825,45.0,2.680298,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,45.0
826,135.0,3.440643,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,90.0
827,0.0,2.502472,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,0.0
828,90.0,2.497192,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,0.0
829,0.0,3.366394,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,45.0
830,135.0,4.691284,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,45.0
831,45.0,2.813873,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,45.0
832,180.0,2.390213,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,90.0
833,45.0,2.458771,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,45.0
834,45.0,3.205185,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,90.0
835,0.0,2.256012,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,0.0
836,0.0,2.870331,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,45.0
837,45.0,3.451172,1.0,1.0,0.0,KB,E4,G1,S2,1.6,T,0.0
838,45.0,2.391678,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,90.0
839,180.0,3.416611,0.0,0.0,0.0,KB,E4,G1,S2,1.6,T,0.0
840,0.0,2.41208,0.0,0.0,0.0,KB,E4,G1,S3,1.6,T,45.0
841,135.0,1.974909,0.0,0.0,0.0,KB,E4,G1,S3,1.6,T,0.0
842,90.0,2.224784,0.0,0.0,0.0,KB,E4,G1,S3,1.6,T,90.0
843,90.0,2.913801,1.0,1.0,0.0,KB,E4,G1,S3,1.6,T,45.0
844,180.0,2.581245,1.0,1.0,0.0,KB,E4,G1,S3,1.6,T,0.0
845,135.0,2.679468,0.0,0.0,0.0,KB,E4,G1,S3,1.6,T,45.0
846,90.0,2.614714,1.0,1.0,0.0,KB,E4,G1,S3,1.6,T,90.0
847,45.0,1.988054,0.0,0.0,0.0,KB,E4,G1,S3,1.6,T,90.0
848,0.0,2.523708,1.0,1.0,0.0,KB,E4,G1,S3,1.6,T,90.0
849,180.0,2.40197,1.0,1.0,0.0,KB,E4,G1,S3,1.6,T,45.0
850,0.0,2.390602,1.0,1.0,0.0,KB,E4,G1,S3,1.6,T,0.0
851,90.0,2.133545,0.0,0.0,0.0,KB,E4,G1,S3,1.6,T,0.0
852,90.0,2.646942,1.0,1.0,0.0,KB,E4,G1,S3,1.6,T,90.0
853,0.0,2.302109,0.0,0.0,0.0,KB,E4,G1,S3,1.6,T,90.0
854,180.0,2.623451,1.0,1.0,0.0,KB,E4,G1,S3,1.6,T,0.0
855,45.0,2.099991,0.0,0.0,0.0,KB,E4,G1,S3,1.6,T,0.0
856,90.0,2.457287,1.0,1.0,0.0,KB,E4,G1,S3,1.6,T,45.0
857,0.0,2.525383,0.0,0.0,0.0,KB,E4,G1,S3,1.6,T,45.0
858,135.0,2.343784,1.0,1.0,0.0,KB,E4,G1,S3,1.6,T,0.0
859,45.0,2.368801,1.0,1.0,0.0,KB,E4,G1,S3,1.6,T,0.0
860,135.0,2.088615,0.0,0.0,0.0,KB,E4,G1,S3,1.6,T,0.0
861,135.0,2.73629,0.0,0.0,0.0,KB,E4,G1,S3,1.6,T,90.0
862,135.0,2.848381,1.0,1.0,0.0,KB,E4,G1,S3,1.6,T,0.0
863,45.0,1.877567,0.0,0.0,0.0,KB,E4,G1,S3,1.6,T,0.0
864,135.0,2.178196,1.0,1.0,0.0,KB,E4,G1,S3,1.6,T,90.0
865,0.0,2.043411,0.0,0.0,0.0,KB,E4,G1,S3,1.6,T,0.0
866,135.0,3.842438,0.0,0.0,0.0,KB,E4,G1,S3,1.6,T,45.0
867,90.0,2.381721,0.0,0.0,0.0,KB,E4,G1,S3,1.6,T,0.0
868,180.0,2.588501,0.0,0.0,0.0,KB,E4,G1,S3,1.6,T,90.0
869,90.0,3.117065,0.0,0.0,0.0,KB,E4,G1,S3,1.6,T,90.0
870,180.0,1.808441,1.0,1.0,0.0,KB,E4,G1,S3,1.6,T,90.0
872,0.0,2.479286,0.0,0.0,0.0,KB,E4,G1,S3,1.6,T,90.0
873,180.0,2.065987,0.0,0.0,0.0,KB,E4,G1,S3,1.6,T,90.0
874,180.0,2.279129,0.0,0.0,0.0,KB,E4,G1,S3,1.6,T,0.0
875,135.0,2.457764,1.0,1.0,0.0,KB,E4,G1,S3,1.6,T,45.0
876,135.0,1.994865,0.0,0.0,0.0,KB,E4,G1,S3,1.6,T,90.0
